Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
23,Lab2_Timing_1,AriseTime,0,,,
23,Lab2_Timing_1,AY_cellFall,55.85e-12,,,
23,Lab2_Timing_1,AY_cellRise,23.11e-12,,,
23,Lab2_Timing_1,AY_fallTransistion,94.76e-12,,,
23,Lab2_Timing_1,AY_riseTransistion,38.51e-12,,,
23,Lab2_Timing_1,BfallTime,0,,,
23,Lab2_Timing_1,BriseTime,0,,,
23,Lab2_Timing_1,BY_cellFall,58.8e-12,,,
23,Lab2_Timing_1,BY_cellRise,24.33e-12,,,
23,Lab2_Timing_1,BY_fallTransistion,94.76e-12,,,
23,Lab2_Timing_1,BY_riseTransistion,38.51e-12,,,
"Parameters: Cout=1.733f, transition=60p",,,,,,
24,Lab2_Timing_1,/A,,,,
24,Lab2_Timing_1,/B,,,,
24,Lab2_Timing_1,/Y,,,,
24,Lab2_Timing_1,AfallTime,0,,,
24,Lab2_Timing_1,AriseTime,0,,,
24,Lab2_Timing_1,AY_cellFall,56.53e-12,,,
24,Lab2_Timing_1,AY_cellRise,24.24e-12,,,
24,Lab2_Timing_1,AY_fallTransistion,94.71e-12,,,
24,Lab2_Timing_1,AY_riseTransistion,38.59e-12,,,
24,Lab2_Timing_1,BfallTime,0,,,
24,Lab2_Timing_1,BriseTime,0,,,
24,Lab2_Timing_1,BY_cellFall,59.58e-12,,,
24,Lab2_Timing_1,BY_cellRise,25.46e-12,,,
24,Lab2_Timing_1,BY_fallTransistion,94.71e-12,,,
24,Lab2_Timing_1,BY_riseTransistion,38.59e-12,,,
"Parameters: Cout=1.733f, transition=80p",,,,,,
25,Lab2_Timing_1,/A,,,,
25,Lab2_Timing_1,/B,,,,
25,Lab2_Timing_1,/Y,,,,
25,Lab2_Timing_1,AfallTime,0,,,
25,Lab2_Timing_1,AriseTime,0,,,
25,Lab2_Timing_1,AY_cellFall,56.96e-12,,,
25,Lab2_Timing_1,AY_cellRise,25.19e-12,,,
25,Lab2_Timing_1,AY_fallTransistion,93.72e-12,,,
25,Lab2_Timing_1,AY_riseTransistion,38.66e-12,,,
25,Lab2_Timing_1,BfallTime,0,,,
25,Lab2_Timing_1,BriseTime,0,,,
25,Lab2_Timing_1,BY_cellFall,60.13e-12,,,
25,Lab2_Timing_1,BY_cellRise,26.38e-12,,,
25,Lab2_Timing_1,BY_fallTransistion,93.72e-12,,,
25,Lab2_Timing_1,BY_riseTransistion,38.66e-12,,,
"Parameters: Cout=1.733f, transition=100p",,,,,,
26,Lab2_Timing_1,/A,,,,
26,Lab2_Timing_1,/B,,,,
26,Lab2_Timing_1,/Y,,,,
26,Lab2_Timing_1,AfallTime,0,,,
26,Lab2_Timing_1,AriseTime,0,,,
26,Lab2_Timing_1,AY_cellFall,57.6e-12,,,
26,Lab2_Timing_1,AY_cellRise,26.07e-12,,,
26,Lab2_Timing_1,AY_fallTransistion,93.97e-12,,,
26,Lab2_Timing_1,AY_riseTransistion,39.15e-12,,,
26,Lab2_Timing_1,BfallTime,0,,,
26,Lab2_Timing_1,BriseTime,0,,,
26,Lab2_Timing_1,BY_cellFall,60.72e-12,,,
26,Lab2_Timing_1,BY_cellRise,27.3e-12,,,
26,Lab2_Timing_1,BY_fallTransistion,93.97e-12,,,
26,Lab2_Timing_1,BY_riseTransistion,39.15e-12,,,
"Parameters: Cout=1.733f, transition=120p",,,,,,
27,Lab2_Timing_1,/A,,,,
27,Lab2_Timing_1,/B,,,,
27,Lab2_Timing_1,/Y,,,,
27,Lab2_Timing_1,AfallTime,0,,,
27,Lab2_Timing_1,AriseTime,0,,,
27,Lab2_Timing_1,AY_cellFall,58.27e-12,,,
27,Lab2_Timing_1,AY_cellRise,26.97e-12,,,
27,Lab2_Timing_1,AY_fallTransistion,93.59e-12,,,
27,Lab2_Timing_1,AY_riseTransistion,39.27e-12,,,
27,Lab2_Timing_1,BfallTime,0,,,
27,Lab2_Timing_1,BriseTime,0,,,
27,Lab2_Timing_1,BY_cellFall,61.32e-12,,,
27,Lab2_Timing_1,BY_cellRise,28.24e-12,,,
27,Lab2_Timing_1,BY_fallTransistion,93.59e-12,,,
27,Lab2_Timing_1,BY_riseTransistion,39.27e-12,,,
"Parameters: Cout=1.733f, transition=140p",,,,,,
28,Lab2_Timing_1,/A,,,,
28,Lab2_Timing_1,/B,,,,
28,Lab2_Timing_1,/Y,,,,
28,Lab2_Timing_1,AfallTime,0,,,
28,Lab2_Timing_1,AriseTime,0,,,
28,Lab2_Timing_1,AY_cellFall,58.87e-12,,,
28,Lab2_Timing_1,AY_cellRise,27.79e-12,,,
28,Lab2_Timing_1,AY_fallTransistion,93.51e-12,,,
28,Lab2_Timing_1,AY_riseTransistion,39.69e-12,,,
28,Lab2_Timing_1,BfallTime,0,,,
28,Lab2_Timing_1,BriseTime,0,,,
28,Lab2_Timing_1,BY_cellFall,62.05e-12,,,
28,Lab2_Timing_1,BY_cellRise,28.94e-12,,,
28,Lab2_Timing_1,BY_fallTransistion,93.51e-12,,,
28,Lab2_Timing_1,BY_riseTransistion,39.69e-12,,,
"Parameters: Cout=2.278f, transition=20p",,,,,,
29,Lab2_Timing_1,/A,,,,
29,Lab2_Timing_1,/B,,,,
29,Lab2_Timing_1,/Y,,,,
29,Lab2_Timing_1,AfallTime,0,,,
29,Lab2_Timing_1,AriseTime,0,,,
29,Lab2_Timing_1,AY_cellFall,68.03e-12,,,
29,Lab2_Timing_1,AY_cellRise,27.16e-12,,,
29,Lab2_Timing_1,AY_fallTransistion,119.1e-12,,,
29,Lab2_Timing_1,AY_riseTransistion,48.13e-12,,,
29,Lab2_Timing_1,BfallTime,0,,,
29,Lab2_Timing_1,BriseTime,0,,,
29,Lab2_Timing_1,BY_cellFall,70.38e-12,,,
29,Lab2_Timing_1,BY_cellRise,28.35e-12,,,
29,Lab2_Timing_1,BY_fallTransistion,119.1e-12,,,
29,Lab2_Timing_1,BY_riseTransistion,48.13e-12,,,
"Parameters: Cout=2.278f, transition=40p",,,,,,
30,Lab2_Timing_1,/A,,,,
30,Lab2_Timing_1,/B,,,,
30,Lab2_Timing_1,/Y,,,,
30,Lab2_Timing_1,AfallTime,0,,,
30,Lab2_Timing_1,AriseTime,0,,,
30,Lab2_Timing_1,AY_cellFall,68.11e-12,,,
30,Lab2_Timing_1,AY_cellRise,27.77e-12,,,
30,Lab2_Timing_1,AY_fallTransistion,117.5e-12,,,
30,Lab2_Timing_1,AY_riseTransistion,47.64e-12,,,
30,Lab2_Timing_1,BfallTime,0,,,
30,Lab2_Timing_1,BriseTime,0,,,
30,Lab2_Timing_1,BY_cellFall,70.93e-12,,,
30,Lab2_Timing_1,BY_cellRise,29e-12,,,
30,Lab2_Timing_1,BY_fallTransistion,117.5e-12,,,
30,Lab2_Timing_1,BY_riseTransistion,47.64e-12,,,
"Parameters: Cout=2.278f, transition=60p",,,,,,
31,Lab2_Timing_1,/A,,,,
31,Lab2_Timing_1,/B,,,,
31,Lab2_Timing_1,/Y,,,,
31,Lab2_Timing_1,AfallTime,0,,,
31,Lab2_Timing_1,AriseTime,0,,,
31,Lab2_Timing_1,AY_cellFall,68.78e-12,,,
31,Lab2_Timing_1,AY_cellRise,28.85e-12,,,
31,Lab2_Timing_1,AY_fallTransistion,117.7e-12,,,
31,Lab2_Timing_1,AY_riseTransistion,47.88e-12,,,
31,Lab2_Timing_1,BfallTime,0,,,
31,Lab2_Timing_1,BriseTime,0,,,
31,Lab2_Timing_1,BY_cellFall,71.75e-12,,,
31,Lab2_Timing_1,BY_cellRise,30e-12,,,
